Change_log	Original_gene_name	Original_transcript_ID	Original_transcript_name	Original_protein_accession	OGSv0_ID	MCOTv1.1	Dmel		
replaced by Apollo model: merge	103511608	XM_008476335.1	XM_008476335.1	XP_008474557.1	Dcitr19064.1	MCOT16292.0.CT	FBpp0079133
replaced by Apollo model: split	103511829	XM_008476569.1	XM_008476569.1	XP_008474791.1	Dcitr19059.1	MCOT13794.0.CC	
replaced by Apollo model: split	103511829	XM_008476569.1	XM_008476569.1	XP_008474791.1	Dcitr19058.1		
replaced by Apollo model: simple replacement	103511830	XM_008476570.1	XM_008476570.1	XP_008474792.1	Dcitr19057.1	MCOT01490.2.CT	FBpp0312025
replaced by Apollo model: merge	103511892	XM_008476633.1	XM_008476633.1	XP_008474855.1	Dcitr19054.1	MCOT03877.0.CC	
replaced by Apollo model: merge	103511893	XM_008476634.1	XM_008476634.1	XP_008474856.1	Dcitr19054.1	MCOT03877.0.CC	
replaced by Apollo model: merge	103512174	XM_008476930.1	XM_008476930.1	XP_008475152.1	Dcitr19048.1	MCOT12797.0.CC	
replaced by Apollo model: merge	103512175	XM_008476931.1	XM_008476931.1	XP_008475153.1	Dcitr19048.1	MCOT12797.0.CC	
replaced by Apollo model: split	103512293	XM_008477049.1	XM_008477049.1	XP_008475271.1	Dcitr19039.1	MCOT16405.1.CC	
replaced by Apollo model: merge	103512293	XM_008477049.1	XM_008477049.1	XP_008475271.1	Dcitr19038.1		
replaced by Apollo model: merge	103512292	XM_008477048.1	XM_008477048.1	XP_008475270.1	Dcitr19038.1		
replaced by Apollo model: split	103512293	XM_008477049.1	XM_008477049.1	XP_008475271.1	Dcitr19037.1	MCOT07493.0.MM	
replaced by Apollo model: merge	103512500	XM_008477261.1	XM_008477261.1	XP_008475483.1	Dcitr19030.2		
replaced by Apollo model: merge	103512501	XM_008477262.1	XM_008477262.1	XP_008475484.1	Dcitr19030.2		
replaced by Apollo model: merge	103512500	XM_008477261.1	XM_008477261.1	XP_008475483.1	Dcitr19030.1		
replaced by Apollo model: merge	103512501	XM_008477262.1	XM_008477262.1	XP_008475484.1	Dcitr19030.1		
replaced by Apollo model: split	103512739	XM_008477518.1	XM_008477518.1	XP_008475740.1	Dcitr19025.1		
replaced by Apollo model: split	103512739	XM_008477518.1	XM_008477518.1	XP_008475740.1	Dcitr19024.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19020.1	MCOT16814.0.CT	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19019.1		
replaced by Apollo model: split	103512827	XM_008477613.1	XM_008477613.1	XP_008475835.1	Dcitr19018.1	MCOT16814.0.CT	
replaced by Apollo model: merge	103512826	XM_008477612.1	XM_008477612.1	XP_008475834.1	Dcitr19017.1		FBpp0086937
replaced by Apollo model: merge	103512827	XM_008477613.1	XM_008477613.1	XP_008475835.1	Dcitr19017.1		FBpp0086937
replaced by Apollo model: simple replacement	103512902	XM_008477688.1	XM_008477688.1	XP_008475910.1	Dcitr19016.1	MCOT12281.3.CC	
replaced by Apollo model: split	103513127	XM_008477938.1	XM_008477938.1	XP_008476160.1	Dcitr19007.1	MCOT08055.0.OO	
replaced by Apollo model: split	103513127	XM_008477938.1	XM_008477938.1	XP_008476160.1	Dcitr19006.1		
replaced by Apollo model: split	103513127	XM_008477938.1	XM_008477938.1	XP_008476160.1	Dcitr19005.1	MCOT08055.0.OO	
replaced by Apollo model: split	103513127	XM_008477938.1	XM_008477938.1	XP_008476160.1	Dcitr19004.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19003.1	MCOT06890.0.MM	
replaced by Apollo model: merge	103513296	XM_008478114.1	XM_008478114.1	XP_008476336.1	Dcitr19001.1		
replaced by Apollo model: merge	103513297	XM_008478115.1	XM_008478115.1	XP_008476337.1	Dcitr19001.1		
replaced by Apollo model: merge	103513428	XM_008478256.1	XM_008478256.1	XP_008476478.1	Dcitr18997.1	MCOT19040.0.CC	FBpp0310268
replaced by Apollo model: merge	103513428	XM_008478255.1	XM_008478255.1	XP_008476477.1	Dcitr18997.1	MCOT19040.0.CC	FBpp0310268
replaced by Apollo model: merge	103513554	XM_008478396.1	XM_008478396.1	XP_008476618.1	Dcitr18995.2	MCOT16382.1.CC	
replaced by Apollo model: merge	103513554	XM_008478397.1	XM_008478397.1	XP_008476619.1	Dcitr18995.2	MCOT16382.1.CC	
replaced by Apollo model: merge	103513554	XM_008478396.1	XM_008478396.1	XP_008476618.1	Dcitr18995.1	MCOT16382.2.CC	FBpp0311925
replaced by Apollo model: merge	103513554	XM_008478397.1	XM_008478397.1	XP_008476619.1	Dcitr18995.1	MCOT16382.2.CC	FBpp0311925
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18993.1	MCOT13013.0.CO	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18982.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18973.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18970.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18969.2	MCOT14440.0.CC	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18969.1	MCOT14440.0.CC	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18964.1	MCOT00215.0.CC	
replaced by Apollo model: merge	103515335	XM_008480277.1	XM_008480277.1	XP_008478499.1	Dcitr18956.1	MCOT22091.2.CT	FBpp0292879
replaced by Apollo model: merge	103515335	XM_008480276.1	XM_008480276.1	XP_008478498.1	Dcitr18956.1	MCOT22091.2.CT	FBpp0292879
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18955.1		
replaced by Apollo model: merge	103515658	XM_008480596.1	XM_008480596.1	XP_008478818.1	Dcitr18952.1		
replaced by Apollo model: merge	103515658	XM_008480595.1	XM_008480595.1	XP_008478817.1	Dcitr18952.1		
replaced by Apollo model: merge	103515660	XM_008480598.1	XM_008480598.1	XP_008478820.1	Dcitr18952.1		
replaced by Apollo model: merge	103516112	XM_008481064.1	XM_008481064.1	XP_008479286.1	Dcitr18942.1	MCOT00917.3.CO	
replaced by Apollo model: merge	103516112	XM_008481066.1	XM_008481066.1	XP_008479288.1	Dcitr18942.1	MCOT00917.3.CO	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18935.1	MCOT03984.0.CT	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18934.1	MCOT08881.0.MT	
replaced by Apollo model: merge	103516640	XM_008481619.1	XM_008481619.1	XP_008479841.1	Dcitr18931.1	MCOT21774.0.CT	
replaced by Apollo model: merge	103516640	XM_008481620.1	XM_008481620.1	XP_008479842.1	Dcitr18931.1	MCOT21774.0.CT	
replaced by Apollo model: merge	103516705	XM_008481687.1	XM_008481687.1	XP_008479909.1	Dcitr18926.1		
replaced by Apollo model: merge	103516703	XM_008481685.1	XM_008481685.1	XP_008479907.1	Dcitr18926.1		
replaced by Apollo model: merge	103516811	XM_008481799.1	XM_008481799.1	XP_008480021.1	Dcitr18923.4	MCOT15195.3.CC	
replaced by Apollo model: merge	103516812	XM_008481801.1	XM_008481801.1	XP_008480023.1	Dcitr18923.4	MCOT15195.3.CC	
replaced by Apollo model: merge	103516811	XM_008481799.1	XM_008481799.1	XP_008480021.1	Dcitr18923.3	MCOT15195.3.CC	
replaced by Apollo model: merge	103516812	XM_008481801.1	XM_008481801.1	XP_008480023.1	Dcitr18923.3	MCOT15195.3.CC	
replaced by Apollo model: merge	103516811	XM_008481799.1	XM_008481799.1	XP_008480021.1	Dcitr18923.2	MCOT15195.3.CC	
replaced by Apollo model: merge	103516812	XM_008481801.1	XM_008481801.1	XP_008480023.1	Dcitr18923.2	MCOT15195.3.CC	
replaced by Apollo model: merge	103516811	XM_008481799.1	XM_008481799.1	XP_008480021.1	Dcitr18923.1	MCOT15195.3.CC	
replaced by Apollo model: merge	103516812	XM_008481801.1	XM_008481801.1	XP_008480023.1	Dcitr18923.1	MCOT15195.3.CC	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18908.1		
replaced by Apollo model: merge	103518408	XM_008483471.1	XM_008483471.1	XP_008481693.1	Dcitr18891.1		FBpp0079568
replaced by Apollo model: merge	103518409	XM_008483472.1	XM_008483472.1	XP_008481694.1	Dcitr18891.1		FBpp0079568
replaced by Apollo model: merge	103518410	XM_008483473.1	XM_008483473.1	XP_008481695.1	Dcitr18891.1		FBpp0079568
replaced by Apollo model: merge	103518902	XM_008483983.1	XM_008483983.1	XP_008482205.1	Dcitr18883.1	MCOT13504.0.CC	
replaced by Apollo model: merge	103518903	XM_008483984.1	XM_008483984.1	XP_008482206.1	Dcitr18883.1	MCOT13504.0.CC	
replaced by Apollo model: merge	103519063	XM_008484144.1	XM_008484144.1	XP_008482366.1	Dcitr18881.3	MCOT21117.0.CT	FBpp0304422
replaced by Apollo model: merge	103519063	XM_008484145.1	XM_008484145.1	XP_008482367.1	Dcitr18881.3	MCOT21117.0.CT	FBpp0304422
replaced by Apollo model: merge	103519063	XM_008484143.1	XM_008484143.1	XP_008482365.1	Dcitr18881.3	MCOT21117.0.CT	FBpp0304422
replaced by Apollo model: merge	103519063	XM_008484144.1	XM_008484144.1	XP_008482366.1	Dcitr18881.2	MCOT21117.0.CT	
replaced by Apollo model: merge	103519063	XM_008484145.1	XM_008484145.1	XP_008482367.1	Dcitr18881.2	MCOT21117.0.CT	
replaced by Apollo model: merge	103519063	XM_008484143.1	XM_008484143.1	XP_008482365.1	Dcitr18881.2	MCOT21117.0.CT	
replaced by Apollo model: merge	103519063	XM_008484144.1	XM_008484144.1	XP_008482366.1	Dcitr18881.1	MCOT22998.0.CC	
replaced by Apollo model: merge	103519063	XM_008484145.1	XM_008484145.1	XP_008482367.1	Dcitr18881.1	MCOT22998.0.CC	
replaced by Apollo model: merge	103519063	XM_008484143.1	XM_008484143.1	XP_008482365.1	Dcitr18881.1	MCOT22998.0.CC	
replaced by Apollo model: split	103519082	XM_008484163.1	XM_008484163.1	XP_008482385.1	Dcitr18880.1		
replaced by Apollo model: split	103519082	XM_008484163.1	XM_008484163.1	XP_008482385.1	Dcitr18879.1		
replaced by Apollo model: split	103519287	XM_008484370.1	XM_008484370.1	XP_008482592.1	Dcitr18877.1	MCOT11816.0.MM	
replaced by Apollo model: split	103519287	XM_008484370.1	XM_008484370.1	XP_008482592.1	Dcitr18876.1	MCOT11816.0.MM	
replaced by Apollo model: split	103519454	XM_008484543.1	XM_008484543.1	XP_008482765.1	Dcitr18871.1	MCOT06699.2.CT	
replaced by Apollo model: split	103519454	XM_008484543.1	XM_008484543.1	XP_008482765.1	Dcitr18870.1		
replaced by Apollo model: split	103519471	XM_008484558.1	XM_008484558.1	XP_008482780.1	Dcitr18869.1		
replaced by Apollo model: split	103519471	XM_008484558.1	XM_008484558.1	XP_008482780.1	Dcitr18868.1	MCOT16771.3.CT	
replaced by Apollo model: split	103519471	XM_008484558.1	XM_008484558.1	XP_008482780.1	Dcitr18867.1	MCOT16771.1.CT	
replaced by Apollo model: merge	103519463	XM_008484551.1	XM_008484551.1	XP_008482773.1	Dcitr18866.1	MCOT16771.3.CT	
replaced by Apollo model: merge	103519471	XM_008484558.1	XM_008484558.1	XP_008482780.1	Dcitr18866.1	MCOT16771.3.CT	
replaced by Apollo model: split	103519546	XM_008484635.1	XM_008484635.1	XP_008482857.1	Dcitr18864.1		
replaced by Apollo model: split	103519546	XM_008484635.1	XM_008484635.1	XP_008482857.1	Dcitr18863.1	MCOT04874.0.CC	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18858.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18857.1		
replaced by Apollo model: merge	103519994	XM_008485087.1	XM_008485087.1	XP_008483309.1	Dcitr18852.1	MCOT06019.3.CC	
replaced by Apollo model: merge	103519996	XM_008485089.1	XM_008485089.1	XP_008483311.1	Dcitr18852.1	MCOT06019.3.CC	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18851.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18849.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr18845.1		
replaced by Apollo model: merge	103520976	XM_008486078.1	XM_008486078.1	XP_008484300.1	Dcitr18841.1	MCOT10937.0.MM	
replaced by Apollo model: merge	103520975	XM_008486077.1	XM_008486077.1	XP_008484299.1	Dcitr18841.1	MCOT10937.0.MM	
replaced by Apollo model: merge	103521260	XM_008486369.1	XM_008486369.1	XP_008484591.1	Dcitr18839.1	MCOT01852.0.CC	
replaced by Apollo model: merge	103521261	XM_008486370.1	XM_008486370.1	XP_008484592.1	Dcitr18839.1	MCOT01852.0.CC	
